Routing Directions,,,,,,
N,,3536,39:30:00,SR 466,,I-25 Exit 284 Mile 284
N,,3538,39:33:00,Old Pecos Trl,,
N,,3541,39:38:00,Old Santa Fe Trl,,
W,,3542,39:39:00,E Water St,,
N,Thu - 12-Aug-99,3542,39:39:00,Bishops Lodge Rd,,
"Stop - Santa Fe, NM",,,5:12:00,,,
N,Fri - 13-Aug-99,3542,39:39:00,Bishops Lodge Rd,,
W,,3542,39:39:00,E San Francisco St,,
W,,3542,39:40:00,W San Francisco St,,
S,,3542,39:40:00,Galisteo St,,
W,,3542,39:41:00,Montezuma Ave,,
SW,,3543,39:41:00,Cerrillos Rd,,
S,,3544,39:43:00,US 84 (US 285|S St Francis Dr),,
SW,,3549,39:50:00,I-25,,I-25 Exit 282 Mile 282 Eastbound-Limited Access Hwy
SE,,3558,39:57:00,SR 599,,I-25 Exit 276AB Mile 276
SW,,3558,39:57:00,SR 14,,
NW,,3622,40:57:00,SR 536 (Sandia Crest Rd),,
S,,3626,41:00:00,SR 14 (Scenic),,
W,,3635,41:15:00,I-40,,I-40 Exit 175 Mile 175
N,,3883,43:55:00,US 666,,I-40 Exit 20 Mile 20
W,,3895,44:13:00,SR 264,,
N,,3922,44:37:00,IR 12,,
N,,3933,44:50:00,BIA 12,State Border,
S,,3966,45:26:00,IR 12,State Border,
N,,3967,45:26:00,BIA 12,State Border,
NE,,3968,45:28:00,IR 12,State Border,
N,,3970,45:30:00,BIA 12,State Border,
NW,,3978,45:38:00,IR 12,State Border,
N,,4040,46:44:00,US 191 (Scenic),,
N,Fri - 13-Aug-99,4103,47:35:00,US 191,State Border,
"Stop - Bluff, UT",,,7:56:00,,,
W,Sat - 14-Aug-99,4144,48:08:00,US 191 (SR 163|S Highway 191),,
SW,,4151,48:14:00,US 163 (Scenic),,
NW,,4217,49:07:00,Monument Valley Rd,,
NE,,4223,49:14:00,US 163 (Scenic),,
N,Sat - 14-Aug-99,4289,50:08:00,US 191 (SR 163|S Highway 191),,
"Stop - Monticello, UT",,,2:00:00,,,
N,Sun - 15-Aug-99,4371,51:20:00,US 191 (SR 191|N Main St),,
W,,4395,51:39:00,SR 211,,
N,,4515,53:31:00,US 191 (SR 191),,
N,,4587,54:33:00,Scenic,,
NW,,4639,55:29:00,US 191 (SR 191),,
W,,4682,56:03:00,I-70 (US 6|US 50|US 191),,I-70 Exit 180 Mile 180
S,,4710,56:21:00,Connector,,I-70 Exit 162 Mile 162
W,,4712,56:23:00,Local Road,,
W,Sun - 15-Aug-99,4714,56:26:00,Main St,,
"Stop - Green River, UT",,,5:06:00,,,
W,Tue - 17-Aug-99,4714,56:26:00,Main St,,
W,,4715,56:26:00,Local Road,,
SW,,4717,56:29:00,I-70 (US 6|US 50|US 191|Scenic),,I-70 Exit 158 Mile 158
SW,,4735,56:40:00,SR 24,,I-70 Exit 147 Mile 147
S,Tue - 17-Aug-99,4883,58:51:00,SR 12 (Scenic),,
"Stop - Tropic, UT",,,2:25:00,,,
NW,Wed - 18-Aug-99,5048,61:17:00,SR 12 (Scenic),,
S,,5060,61:28:00,SR 63 (Scenic),,
S,,5062,61:30:00,SSR 63 (Scenic),,
N,,5073,61:42:00,SR 63 (Scenic),,
W,,5076,61:44:00,SR 12 (Scenic),,
N,,5098,62:03:00,US 89 (W Highway 89|Scenic),,
SW,,5109,62:20:00,SR 143 (S Main St|Scenic),,
S,,5159,63:13:00,SR 148 (Scenic),,
W,,5172,63:24:00,SR 14 (Scenic),,
N,,5201,63:52:00,SR 130 (N Main St),,
W,,5201,63:53:00,SR 56 (W 200 N),,
W,,5300,65:22:00,SR 25 (SR 319),State Border,
W,,5300,65:22:00,SR 319,,
SW,Wed - 18-Aug-99,5334,65:52:00,US 93 (Scenic),,
"Stop - Caliente, NV",,,4:35:00,,,
W,Thu - 19-Aug-99,5356,66:16:00,US 93 (Front St|Scenic),,
S,,5383,66:41:00,Local Road,,
S,,5387,66:45:00,Power Line Maintenance Rd,,
N,,5401,67:00:00,Local Road,,
W,,5404,67:04:00,US 93 (Scenic),,
W,,5446,67:37:00,SR 318,,
NW,,5447,67:38:00,SR 375,,
W,,5606,69:59:00,US 6,,
W,,5816,73:00:00,SR 120,,
N,Thu - 19-Aug-99,5889,74:04:00,US 395 (SR 120|Scenic),,
"Stop - Lee Vining, CA",,,7:48:00,,,
S,Fri - 20-Aug-99,5915,74:26:00,US 395 (Scenic),,
W,,5933,74:41:00,SR 120 (Utility Rd|Scenic|Seasonal),,
S,,6183,78:30:00,SR 99 (SR 120),,CA99 Exit 256 Mile 256
W,,6184,78:30:00,SR 120,,CA99 Exit 255 Mile 255 Difficult Reaccess. Limited Access Hwy
SW,,6195,78:39:00,I-5,,I-5 Exit 460 Mile 460
W,,6198,78:41:00,I-205,,I-5 Exit 458 Mile 458 Southbound.
W,,6219,78:55:00,I-580,,I-580 Exit 42 Mile 42
SW,,6236,79:06:00,SR 84 (1st St),,I-580 Exit 34 Mile 34
NE,Fri - 20-Aug-99,6240,79:12:00,1st St,,
"Stop - Livermore, CA",,,4:46:00,,,
SW,Sun - 22-Aug-99,6240,79:12:00,1st St,,
W,,6240,79:12:00,SR 84 (1st St),,
W,,6240,79:13:00,Martinez Trl,,
W,,6240,79:13:00,SR 84 (1st St),,
W,,6241,79:14:00,E Stanley Blvd,,
W,,6245,79:18:00,Stanley Blvd,,
S,,6249,79:26:00,Main St,,
S,,6251,79:28:00,Sunol Blvd,,
S,,6253,79:31:00,I-680,,I-680 Exit 28 Mile 28
SW,,6273,79:44:00,SR 262 (Mission Blvd),,I-680 Exit 19 Mile 19
S,,6275,79:47:00,I-880 (Nimitz Fwy|SR 17),,
S,,6295,80:01:00,SR 17,,I-280 Exit 34 Mile 34
S,,6338,80:44:00,SR 1 (Scenic),,
SE,,6620,84:51:00,US 101 (SR 1|Scenic|El Camino Real),,
SE,,6789,86:57:00,W Carrillo St,,
NW,Sun - 22-Aug-99,6790,86:57:00,Chapala St,,
"Stop - Santa Barbara, CA",,,7:45:00,,,
NW,Mon - 23-Aug-99,6790,86:58:00,Chapala St,,
SW,,6790,86:58:00,W Mission St,,
E,,6791,86:59:00,US 101 (SR 1|Scenic),,
E,,6822,87:21:00,Ventura Fwy (US 101|SR 1|Scenic),,
SE,,6928,88:38:00,Hollywood Fwy (US 101|SR 170),,
SW,,6945,88:50:00,Pasadena Fwy (SR 110),,
SE,Mon - 23-Aug-99,6946,88:51:00,W 4th St,,
"Finish - Los Angeles, CA",,,1:53:00,,,
,,,,,,
GRUPPO arriva il 23 a LA,,,,,,
Abbiamo un margine di 2 giorni,,,,,,
,,,,,,
Aereo decolla il 25,,,,,,
